Country or territory,Sale,Possession,Internet pornography,Penalty,Notes
Brunei Brunei,Illegal,Illegal,Uncertain,"Article 292. (Sale etc. of obscene articles)  #  Whoever sells, lets to hire, distributes, publicly exhibits or in any manner puts into circulation, or for purposes of sale, hire distribution, public exhibition or circulation makes, produces or has in his possession any obscene article shall be guilty of an offence and shall be punished with a fine of not less than $500 and not more than $5,000 and imprisonment which may extend to 2 years; and in the case of a second or subsequent conviction, a fine of not less than $1,000 and not more than $30,000 and imprisonment which may extend to 5 years.",
Bulgaria Bulgaria,Illegal,Legal,Legal,"Article 159.  #  A person who produces, displays, presents, broadcasts, distributes, sells, rents or otherwise circulates a pornographic material, shall be punished by deprivation of liberty of up to one year and a fine of [[Bulgarian lev|BGN]] one thousand (1,000) to three thousand (3,000).",
Burkina Faso Burkina Faso,Legal,Legal,Uncertain,Uncertain,
Burundi Burundi,Uncertain,Uncertain,Uncertain,Uncertain,
Cambodia Cambodia,Illegal,Uncertain,Uncertain,Uncertain,
Cameroon Cameroon,Uncertain,Uncertain,Uncertain,Uncertain,
Canada Canada,Legal,Legal,Legal,,
Central African Republic Central African Republic,Uncertain,Uncertain,Uncertain,Uncertain,
China People's Republic of China,Illegal,Restricted,Blocked,Uncertain,
Cuba Cuba,Illegal,Illegal,Blocked,,
Egypt Egypt,Illegal,Illegal,Legal,Uncertain,
Republic of Congo Republic of Congo,Uncertain,Uncertain,Uncertain,Uncertain,
Ivory Coast Ivory Coast,Illegal,Uncertain,Uncertain,Uncertain,
Comoros Comoros,Illegal,Uncertain,Uncertain,Uncertain,
Croatia Croatia,Legal,Legal,Legal,,
Czech Republic Czech Republic,Legal,Legal,Legal,,
Denmark Denmark,Legal,Legal,Legal,,See: Pornography in Denmark
Djibouti Djibouti,Illegal,Uncertain,Uncertain,Uncertain,
Ecuador Ecuador,Legal,Legal,Legal,,
Equatorial Guinea Equatorial Guinea,Uncertain,Uncertain,Uncertain,Uncertain,
